epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00200000,1.91395982,0.26842000,1.62716425,0.39620000,0.36
2,0.00200000,1.40010585,0.47720000,1.14398762,0.58880000,0.73
3,0.00200000,1.10515103,0.60342000,1.02294825,0.64490000,1.10
4,0.00200000,0.92193111,0.67692000,0.82470328,0.70910000,1.47
5,0.00200000,0.79616512,0.72438000,0.85245076,0.70780000,1.85
6,0.00200000,0.70069893,0.75762000,0.66126871,0.76520000,2.22
7,0.00200000,0.63104240,0.78208000,0.64444377,0.77630000,2.60
8,0.00200000,0.57273571,0.80350000,0.58673164,0.79880000,2.97
9,0.00200000,0.52418044,0.82202000,0.58231247,0.80270000,3.33
10,0.00200000,0.47863292,0.83792000,0.58012528,0.80890000,3.71
11,0.00200000,0.44996434,0.84624000,0.45601446,0.84580000,4.09
12,0.00200000,0.41967415,0.85804000,0.51158577,0.83200000,4.47
13,0.00200000,0.38432557,0.86970000,0.50573020,0.84130000,4.84
14,0.00200000,0.36438784,0.87700000,0.47341232,0.84980000,5.21
15,0.00200000,0.33745974,0.88388000,0.46327125,0.85180000,5.59
16,0.00200000,0.31553305,0.89272000,0.48747325,0.84600000,5.98
17,0.00200000,0.30306543,0.89672000,0.41821037,0.86560000,6.36
18,0.00200000,0.27951344,0.90464000,0.41479125,0.86910000,6.73
19,0.00200000,0.26655200,0.90994000,0.47373550,0.85280000,7.11
20,0.00200000,0.25227718,0.91372000,0.45569242,0.86060000,7.49
