epoch,lr,train_loss,train_acc,test_loss,test_acc,elapsed_min
1,0.00200000,2.00006863,0.20546000,1.76733990,0.30020000,0.34
2,0.00200000,1.65023343,0.35866000,1.45684507,0.42840000,0.68
3,0.00200000,1.43180205,0.46066000,1.27759322,0.52310000,1.03
4,0.00200000,1.27830601,0.53638000,1.30739568,0.53460000,1.37
5,0.00200000,1.14962877,0.58716000,1.05240188,0.62600000,1.71
6,0.00200000,1.06167492,0.62678000,1.06882357,0.62920000,2.06
7,0.00200000,1.00769964,0.64796000,0.94289871,0.67730000,2.40
8,0.00200000,0.94569289,0.67340000,0.95841133,0.67180000,2.77
9,0.00200000,0.90861165,0.68634000,0.89089225,0.69200000,3.12
10,0.00200000,0.87073286,0.70216000,0.85657370,0.70980000,3.47
11,0.00200000,0.84685930,0.71036000,0.85119852,0.70610000,3.82
12,0.00200000,0.81304358,0.72284000,0.79644399,0.72900000,4.17
13,0.00200000,0.79202362,0.73078000,0.78290165,0.73790000,4.52
14,0.00200000,0.76409097,0.74194000,0.76385778,0.74540000,4.87
15,0.00200000,0.75870318,0.74452000,0.72892254,0.75570000,5.23
16,0.00200000,0.73482008,0.75258000,0.73260026,0.75810000,5.59
17,0.00200000,0.71944916,0.75828000,0.76461377,0.74110000,5.94
18,0.00200000,0.70387163,0.76326000,0.73432082,0.75580000,6.29
19,0.00200000,0.70021308,0.76426000,0.72607033,0.76510000,6.64
20,0.00200000,0.68466867,0.77114000,0.69081557,0.76540000,6.99
