epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.7962453961,0.8001012206,0.0038558245,0.0038274269,0.0000283976,0.0983057916,98.3057916164
5,0.0020000000,0.7962453961,0.8038119674,0.0075665712,0.0076548538,0.0000882826,0.2706029713,135.3014856577
5,0.0050000000,0.7962453961,0.8154132366,0.0191678405,0.0191371346,0.0000307059,0.4342262745,86.8452548981
5,0.0100000000,0.7962453961,0.8349260092,0.0386806130,0.0382742691,0.0004063439,0.5889483094,58.8948309422
10,0.0010000000,0.4801230431,0.4832963645,0.0031733215,0.0031116533,0.0000616682,0.1957764030,195.7764029503
10,0.0020000000,0.4801230431,0.4865859151,0.0064628720,0.0062233067,0.0002395654,0.2835833430,141.7916715145
10,0.0050000000,0.4801230431,0.4965380728,0.0164150298,0.0155582666,0.0008567631,0.4241993129,84.8398625851
10,0.0100000000,0.4801230431,0.5143241882,0.0342011452,0.0311165333,0.0030846119,0.9643637538,96.4363753796
15,0.0010000000,0.4073374867,0.4101948142,0.0028573275,0.0026740804,0.0001832471,0.2675337195,267.5337195396
15,0.0020000000,0.4073374867,0.4130386710,0.0057011843,0.0053481607,0.0003530235,0.3208375275,160.4187637568
15,0.0050000000,0.4073374867,0.4214456379,0.0141081512,0.0133704019,0.0007377493,0.3254730701,65.0946140289
15,0.0100000000,0.4073374867,0.4363007545,0.0289632678,0.0267408037,0.0022224641,0.6462524533,64.6252453327
20,0.0010000000,0.3144687414,0.3163176179,0.0018488765,0.0018438419,0.0000050346,0.0745351166,74.5351165533
20,0.0020000000,0.3144687414,0.3181863427,0.0037176013,0.0036876838,0.0000299175,0.1011233255,50.5616627634
20,0.0050000000,0.3144687414,0.3237438202,0.0092750788,0.0092192096,0.0000558692,0.1848624796,36.9724959135
20,0.0100000000,0.3144687414,0.3340105712,0.0195418298,0.0184384191,0.0011034107,0.5755054355,57.5505435467
