epoch,alpha,base_loss,shifted_loss,actual_change,predicted_change,linearization_error,grad_diff,grad_diff_per_alpha
5,0.0010000000,0.9527282119,0.9557929039,0.0030646920,0.0029928873,0.0000718048,0.2642266154,264.2266154289
5,0.0020000000,0.9527282119,0.9588178396,0.0060896277,0.0059857745,0.0001038532,0.3451164663,172.5582331419
5,0.0050000000,0.9527282119,0.9677342176,0.0150060058,0.0149644363,0.0000415695,0.5564057231,111.2811446190
5,0.0100000000,0.9527282119,0.9830296040,0.0303013921,0.0299288726,0.0003725195,1.0044118166,100.4411816597
10,0.0010000000,0.7141398191,0.7169399858,0.0028001666,0.0028047750,0.0000046084,0.2152386904,215.2386903763
10,0.0020000000,0.7141398191,0.7197198868,0.0055800676,0.0056095500,0.0000294824,0.3307491243,165.3745621443
10,0.0050000000,0.7141398191,0.7286103368,0.0144705176,0.0140238750,0.0004466426,0.6443858147,128.8771629333
10,0.0100000000,0.7141398191,0.7440734506,0.0299336314,0.0280477500,0.0018858814,0.9033823609,90.3382360935
15,0.0010000000,0.6890356541,0.6928169131,0.0037812591,0.0035132644,0.0002679946,0.4222121537,422.2121536732
15,0.0020000000,0.6890356541,0.6966423988,0.0076067448,0.0070265288,0.0005802159,0.4198999107,209.9499553442
15,0.0050000000,0.6890356541,0.7072401047,0.0182044506,0.0175663221,0.0006381285,0.5733118653,114.6623730659
15,0.0100000000,0.6890356541,0.7249807715,0.0359451175,0.0351326442,0.0008124733,1.0548360348,105.4836034775
20,0.0010000000,0.6480617523,0.6509772539,0.0029155016,0.0029481518,0.0000326502,0.3408415616,340.8415615559
20,0.0020000000,0.6480617523,0.6538953185,0.0058335662,0.0058963037,0.0000627375,0.4982114434,249.1057217121
20,0.0050000000,0.6480617523,0.6625183821,0.0144566298,0.0147407591,0.0002841294,0.8499657512,169.9931502342
20,0.0100000000,0.6480617523,0.6771974564,0.0291357040,0.0294815183,0.0003458142,1.0905319452,109.0531945229
