global_step,epoch,loss,grad_norm
0,1,2.33112335,13.38459206
1,1,2.27536774,12.42517185
2,1,2.27914429,12.60424519
3,1,2.13642883,11.27610683
4,1,2.23248672,11.09648132
5,1,2.13587189,10.92083931
6,1,2.18819046,10.72199345
7,1,1.91596413,9.97505856
8,1,2.00103188,9.18297672
9,1,1.90564728,9.23428154
10,1,2.03178024,9.21354771
11,1,2.06090546,9.33782578
12,1,1.99045563,9.01946640
13,1,1.98516083,8.92421150
14,1,1.87982178,8.30815887
15,1,1.87863922,8.03495598
16,1,1.94853401,8.20371342
17,1,1.79676437,7.80209541
18,1,1.86499786,7.59158325
19,1,1.78543854,7.41919565
20,1,1.67417717,6.95907259
21,1,1.84074974,8.08316040
22,1,1.85895157,8.02439785
23,1,1.70637226,7.41551065
24,1,1.93497658,7.66596746
25,1,1.74890518,7.14429760
26,1,1.81492043,7.16040516
27,1,1.85080242,7.39740276
28,1,1.78261471,8.48501015
29,1,1.74647522,7.64033699
30,1,1.69315910,7.45903158
31,1,1.81015205,7.58406019
32,1,1.87537003,7.95367956
33,1,1.59332275,7.30538845
34,1,1.69353580,6.81322622
35,1,1.69187927,7.04938030
36,1,1.70623922,7.28835773
37,1,1.82264733,8.32538509
38,1,1.68178082,7.67899084
39,1,1.68289614,7.03593874
40,1,1.66541862,7.30796719
41,1,1.63891983,7.50294113
42,1,1.81835556,7.82436609
43,1,1.69097900,7.13405371
44,1,1.77739716,7.93796444
45,1,1.57204723,7.02631521
46,1,1.71091557,8.27983761
47,1,1.61532974,7.49251413
48,1,1.79654503,7.65184784
49,1,1.54503727,7.70579100
50,1,1.67275095,7.44052267
51,1,1.60263014,7.16134596
52,1,1.60089111,7.72607088
53,1,1.78455257,8.91899395
54,1,1.69194984,7.77114487
55,1,1.60099411,7.21415758
56,1,1.64048004,6.95559835
57,1,1.52272129,7.38528538
58,1,1.64672470,8.16257858
59,1,1.74405956,7.67991209
60,1,1.52976084,7.40822744
61,1,1.57112789,7.68525219
62,1,1.51616287,6.96337175
63,1,1.62325573,8.12502575
64,1,1.59977055,7.45766068
65,1,1.62854147,8.45942020
66,1,1.58904743,8.48229599
67,1,1.57047462,7.50131893
68,1,1.64117384,7.12408924
69,1,1.50617981,6.87084007
70,1,1.56298733,7.70887232
71,1,1.44804478,7.34511232
72,1,1.59735584,7.34342957
73,1,1.64793396,7.49183273
74,1,1.66778135,8.30864906
75,1,1.71326494,7.80441856
76,1,1.61953354,7.87519026
77,1,1.49253082,8.00093651
78,1,1.48780823,7.39803982
79,1,1.59891987,7.76523304
80,1,1.60438251,7.98030043
81,1,1.61437798,7.61987448
82,1,1.60411263,7.17521286
83,1,1.56310749,8.11110878
84,1,1.49371147,7.52166939
85,1,1.53063202,7.52128458
86,1,1.59541464,8.05029678
87,1,1.52099133,7.86178541
88,1,1.50960779,7.54385328
89,1,1.49049520,6.94938660
90,1,1.59143114,8.80678368
91,1,1.45460081,7.49381018
92,1,1.52603388,9.11281204
93,1,1.69183135,9.75751972
94,1,1.57657480,7.85996246
95,1,1.68833733,8.96765423
96,1,1.56714129,8.34937668
97,1,1.55737615,7.84344101
98,1,1.43466306,6.59764481
99,1,1.62600613,7.87028503
100,1,1.53581762,7.72729778
101,1,1.53676987,7.91295815
102,1,1.44290018,7.86274099
103,1,1.53351498,7.20660686
104,1,1.41481113,6.38531971
105,1,1.49185872,8.79330635
106,1,1.47622108,7.39491034
107,1,1.73878670,10.47796726
108,1,1.48169422,7.33991480
109,1,1.37272549,7.44777822
110,1,1.42592859,7.16781235
111,1,1.44368029,7.18761826
112,1,1.45892024,7.83162403
113,1,1.39072633,7.60312939
114,1,1.47471356,8.61928558
115,1,1.67066193,8.58264256
116,1,1.53842068,8.17866611
117,1,1.43985105,7.60679722
118,1,1.39210796,6.92874908
119,1,1.58022356,7.68660784
120,1,1.40528345,7.89308691
121,1,1.49496293,7.46676588
122,1,1.59123611,8.27161598
123,1,1.45198536,7.02106142
124,1,1.48531651,7.46346569
125,1,1.40846419,6.94817066
126,1,1.41912794,7.25380325
127,1,1.56924891,8.66448021
128,1,1.41538715,7.57196140
129,1,1.33869863,7.96371698
130,1,1.53024340,8.06455517
131,1,1.42071152,7.37313986
132,1,1.41934514,8.98574162
133,1,1.33862996,8.09791660
134,1,1.52279735,9.29239368
135,1,1.36706018,7.48214722
136,1,1.55140841,8.60142899
137,1,1.45965767,7.68610620
138,1,1.35235691,7.68182039
139,1,1.39130187,6.72287035
140,1,1.35232615,8.81239796
141,1,1.53429985,7.65565681
142,1,1.59914351,7.67920589
143,1,1.28989792,8.80632114
144,1,1.47723389,8.80731106
145,1,1.57745051,8.85258389
146,1,1.57730341,8.99234772
147,1,1.33293390,7.21810722
148,1,1.27991986,6.98199844
149,1,1.56891680,8.43899727
150,1,1.56479168,8.34364414
151,1,1.38086295,9.60840130
152,1,1.39482403,8.48742867
153,1,1.52652025,8.49572754
154,1,1.47522402,7.49233532
155,1,1.40691876,7.55024433
156,1,1.49441814,8.70623875
157,1,1.43000746,7.14311361
158,1,1.57929611,7.90781116
159,1,1.39158249,7.37115049
160,1,1.40821147,8.02369022
161,1,1.34453535,7.41703224
162,1,1.32987225,8.61598301
163,1,1.41414690,7.93387175
164,1,1.30480719,6.76254511
165,1,1.45127439,7.61627626
166,1,1.37179756,7.89374304
167,1,1.44874620,8.06753445
168,1,1.36082745,7.65966606
169,1,1.41993666,7.93936014
170,1,1.15123701,6.13251495
171,1,1.45344591,8.49373055
172,1,1.62950182,7.53499651
173,1,1.29498124,7.87078285
174,1,1.37541771,7.48406363
175,1,1.39212608,8.20820713
176,1,1.28539491,8.76529789
177,1,1.28176999,7.62671375
178,1,1.41107488,8.50928116
179,1,1.31640124,7.31582785
180,1,1.37304425,inf
181,1,1.33225322,8.07894325
182,1,1.31591249,7.87165833
183,1,1.49042153,8.95862865
184,1,1.41720223,9.16258812
185,1,1.19163287,7.87766933
186,1,1.32671118,8.95816422
187,1,1.38375199,9.25113583
188,1,1.27512264,8.99413395
189,1,1.36078417,9.45246506
190,1,1.17472482,7.00293589
191,1,1.40097690,10.39000416
192,1,1.48979592,8.22426033
193,1,1.36852920,7.62547302
194,1,1.48606563,9.19736481
195,1,1.29690790,7.50201368
196,1,1.31472778,7.41520596
197,1,1.27933443,7.98113298
198,1,1.27240515,9.83432770
199,1,1.25355840,6.58230352
200,1,1.40803075,9.58889389
201,1,1.28732538,6.97629690
202,1,1.26900983,8.81125927
203,1,1.24324894,7.21711779
204,1,1.29334831,7.60784864
205,1,1.22132325,7.01526165
206,1,1.38218033,8.11391926
207,1,1.19466496,9.67670536
208,1,1.30445600,9.29722023
209,1,1.34647202,7.99895716
210,1,1.37152755,9.10616684
211,1,1.38550782,7.97700691
212,1,1.40346968,8.24841595
213,1,1.36220741,8.86137295
214,1,1.29447031,12.40228367
215,1,1.18704343,8.76730728
216,1,1.29458857,9.19274044
217,1,1.36594677,8.09650993
218,1,1.33998704,9.32336235
219,1,1.35808635,7.64626026
220,1,1.35882270,9.36899471
221,1,1.28445601,8.92693233
222,1,1.38323617,7.52253628
223,1,1.40060782,7.82827711
224,1,1.36776567,8.36714840
225,1,1.21066904,7.49491549
226,1,1.19644392,8.50561523
227,1,1.30182815,8.27787685
228,1,1.55835712,10.30007362
229,1,1.32503343,10.68029785
230,1,1.36535788,9.28459644
231,1,1.31004024,9.63212490
232,1,1.24808955,10.73324585
233,1,1.53013134,9.33142662
234,1,1.13817692,8.92359066
235,1,1.33784485,12.01619244
236,1,1.46004438,13.08065128
237,1,1.28466320,8.90529251
238,1,1.19832325,7.43183374
239,1,1.33729243,7.57473516
240,1,1.49444759,8.31012821
241,1,1.15220332,8.64935780
242,1,1.34516263,7.61716604
243,1,1.20804417,8.88749123
