global_step,epoch,loss,grad_norm
0,1,2.30415344,0.21536991
1,1,2.30201721,0.19008970
2,1,2.30478668,0.33022308
3,1,2.29266357,0.29839256
4,1,2.25718689,0.44078255
5,1,2.32019806,1.58783090
6,1,2.27130890,0.27314216
7,1,2.28713989,0.23651476
8,1,2.28967285,0.29480171
9,1,2.29188538,0.24736799
10,1,2.28845215,0.19428504
11,1,2.27619171,0.30494601
12,1,2.26818085,0.25333810
13,1,2.25750732,0.28872508
14,1,2.24926758,0.75498408
15,1,2.25579834,0.60631537
16,1,2.21990967,0.51878941
17,1,2.16977692,0.85047168
18,1,2.21390533,1.20542896
19,1,2.20266342,1.39416361
20,1,2.19585419,0.47907186
21,1,2.20014954,1.52703977
22,1,2.19457245,0.76279926
23,1,2.07180786,0.92365092
24,1,2.23481750,2.34830093
25,1,2.11867905,1.90231299
26,1,2.09893036,0.80040532
27,1,2.20851898,1.53289664
28,1,2.13959503,0.72579008
29,1,2.13833618,1.01747978
30,1,2.10539246,1.05444849
31,1,2.07901001,0.88403744
32,1,2.15560150,4.02784681
33,1,1.99772835,2.67882109
34,1,2.09752655,2.61762333
35,1,2.01366806,2.06427431
36,1,2.09507751,1.16955614
37,1,2.07139587,1.25656748
38,1,2.00246048,1.09474850
39,1,2.15547180,3.71999240
40,1,2.01248932,1.55394197
41,1,2.00733185,1.67573595
42,1,2.13862610,2.08078790
43,1,1.99245834,1.46248388
44,1,2.09213257,1.51364088
45,1,1.95112610,1.13767588
46,1,1.96780396,1.26480389
47,1,2.02460480,1.52157307
48,1,1.95645142,1.26039362
49,1,1.89215088,1.36071813
50,1,1.91377258,2.08882952
51,1,1.99989700,2.27947927
52,1,1.96929169,1.77949035
53,1,2.13457012,2.64802575
54,1,2.06462860,4.20672941
55,1,1.95870972,1.02729940
56,1,2.03262329,1.42217910
57,1,1.95775986,1.47557473
58,1,1.98323059,0.82436675
59,1,2.04026794,1.75927150
60,1,1.99339676,1.26557231
61,1,1.94213104,2.52964902
62,1,1.93199921,1.51784003
63,1,1.95816231,1.62824750
64,1,2.01037979,2.09950852
65,1,1.89916420,1.89004195
66,1,1.85929298,1.53538394
67,1,1.99069023,1.74722087
68,1,1.93301010,3.72570133
69,1,1.89129639,3.53406572
70,1,1.98995399,2.07779264
71,1,1.88212204,3.13208890
72,1,1.84088707,1.86943483
73,1,1.96505356,6.32185555
74,1,1.85501099,3.34552836
75,1,1.85222626,4.16015768
76,1,1.87081528,3.99439192
77,1,1.98716736,5.94677830
78,1,1.97319031,7.20592260
79,1,1.98743439,5.12121582
80,1,1.89428711,3.29252028
81,1,2.09917450,7.32159281
82,1,1.85913086,2.35296512
83,1,1.94578552,3.15968490
84,1,1.92155457,1.75806642
85,1,1.86886215,2.01201320
86,1,2.04174805,1.93309939
87,1,1.91778564,1.63156962
88,1,1.78662109,2.88095927
89,1,1.89268684,1.47019732
90,1,1.94371557,2.71591330
91,1,1.69766808,2.82154679
92,1,1.98790288,3.94107294
93,1,1.87075233,2.44292521
94,1,1.87683105,2.40810990
95,1,1.86473846,2.88284993
96,1,1.88530731,3.43433642
97,1,1.83719635,2.18787241
98,1,1.83629227,2.12963915
99,1,1.84339523,4.44634676
100,1,2.00823975,7.35863113
101,1,1.72367096,3.03463435
102,1,1.88306808,5.09592199
103,1,1.94535446,7.71327019
104,1,1.81529999,3.86567640
105,1,1.98480892,5.69857931
106,1,1.78364944,3.82699251
107,1,1.84541702,2.31609678
108,1,1.85141945,3.04321527
109,1,1.81905556,4.28325129
110,1,1.70849609,2.07619882
111,1,1.83243942,2.16786551
112,1,1.81739426,2.03673434
113,1,1.84622002,2.54579759
114,1,1.81335449,3.64189959
115,1,1.73283243,2.12590003
116,1,1.84495354,1.76678598
117,1,1.79276276,1.95236003
118,1,1.76073360,2.35868835
119,1,1.70920944,3.55515647
120,1,1.84105873,1.87977099
121,1,1.75637054,2.52839303
122,1,1.86275101,3.67917109
123,1,1.70358658,2.49408984
124,1,1.82689476,2.52351761
125,1,1.69938660,4.87043333
126,1,1.81905365,2.67693543
127,1,1.82811737,3.70069361
128,1,1.91585732,4.46112919
129,1,1.71711159,3.15325665
130,1,1.80712318,2.73319006
131,1,1.70618916,2.07148385
132,1,1.73300982,2.82241178
133,1,1.81667900,3.32292366
134,1,1.73275375,2.46685433
135,1,1.79697132,2.54078650
136,1,1.71976852,3.03555489
137,1,1.75278854,2.07845473
138,1,1.72720337,2.68465781
139,1,1.76810646,2.64798999
140,1,1.74809265,2.24328208
141,1,1.74875450,1.72981024
142,1,1.75080109,2.41789174
143,1,1.64448166,1.57884073
144,1,1.79029465,4.84584045
145,1,1.71509361,2.31009674
146,1,1.83584785,1.80501890
147,1,1.87037659,4.43705606
148,1,1.93465710,4.16806507
149,1,1.73338699,4.02856731
150,1,1.72646523,1.74148917
151,1,1.77886391,2.48810387
152,1,1.73775673,2.29022551
153,1,1.74099731,3.41231179
154,1,1.61976719,3.85383844
155,1,1.69498527,4.41730213
156,1,1.75626922,6.29127312
157,1,1.68943024,4.02396727
158,1,1.69667935,4.34937239
159,1,1.73436356,3.01317143
160,1,1.81580925,2.47102427
161,1,1.68653393,3.21626759
162,1,1.79979897,3.28406668
163,1,1.71494102,2.11739612
164,1,1.72653532,3.83878899
165,1,1.61961746,2.24371171
166,1,1.63891029,2.68594384
167,1,1.77962685,3.06169128
168,1,1.71909595,3.17550278
169,1,1.72784901,4.96528530
170,1,1.85224533,5.13429594
171,1,1.54806042,2.22491336
172,1,1.61315203,3.15118194
173,1,1.70105648,2.71045470
174,1,1.62632918,2.68884110
175,1,1.66094685,5.98930550
176,1,1.73144674,3.98203158
177,1,1.60427380,1.66290891
178,1,1.68232918,4.90738201
179,1,1.70519352,4.05162239
180,1,1.62119484,7.38083315
181,1,1.68086767,2.38056326
182,1,1.80429196,6.13630819
183,1,1.68756104,3.09094524
184,1,1.59336662,1.92288446
185,1,1.81626797,2.28452826
186,1,1.61890602,2.13249874
187,1,1.58183575,2.02998543
188,1,1.60679436,2.30977178
189,1,1.64857388,2.71467185
