epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
1,0.00099994,2.066258,0.177862,1.706951,0.416200,0.77
2,0.00099976,1.854906,0.250913,1.449091,0.549200,1.41
3,0.00099945,1.703564,0.297765,1.328348,0.622400,2.06
4,0.00099902,1.606973,0.343082,1.252330,0.655600,2.71
5,0.00099847,1.559107,0.363159,1.153284,0.715000,3.37
6,0.00099780,1.476664,0.387108,1.059840,0.760000,4.04
7,0.00099701,1.442471,0.376847,1.019514,0.773800,4.70
8,0.00099610,1.375472,0.393185,1.016081,0.781800,5.35
9,0.00099506,1.340891,0.387731,0.952407,0.810000,6.00
10,0.00099391,1.312847,0.425681,0.930995,0.818400,6.65
11,0.00099263,1.292461,0.417201,0.920369,0.826400,7.30
12,0.00099123,1.270138,0.430489,0.912888,0.821400,7.97
13,0.00098972,1.265489,0.417357,0.862805,0.850800,8.60
14,0.00098808,1.271305,0.451122,0.841071,0.852400,9.24
15,0.00098632,1.247275,0.453615,0.848001,0.856200,9.87
16,0.00098445,1.202236,0.426749,0.835855,0.863400,10.49
17,0.00098246,1.186286,0.449274,0.831787,0.863400,11.13
18,0.00098035,1.197240,0.438769,0.808883,0.864000,11.76
19,0.00097812,1.174931,0.444645,0.781428,0.878200,12.40
20,0.00097577,1.191123,0.453236,0.787595,0.875600,13.04
21,0.00097331,1.165454,0.442708,0.766312,0.885200,13.66
22,0.00097074,1.158500,0.476807,0.778833,0.886000,14.33
23,0.00096804,1.158991,0.442508,0.768210,0.888400,14.99
24,0.00096524,1.175669,0.433805,0.754019,0.890600,15.65
25,0.00096232,1.152043,0.431579,0.758162,0.894800,16.31
26,0.00095929,1.142852,0.429176,0.747224,0.895800,16.96
27,0.00095614,1.138378,0.496928,0.739088,0.897400,17.60
28,0.00095289,1.112494,0.482350,0.740002,0.904000,18.22
29,0.00094952,1.119010,0.502804,0.748653,0.901400,18.88
30,0.00094605,1.097025,0.496394,0.731145,0.906400,19.52
31,0.00094246,1.125532,0.488671,0.722432,0.912200,20.17
32,0.00093877,1.074897,0.457443,0.725982,0.903400,20.82
33,0.00093497,1.089755,0.482016,0.738863,0.900600,21.41
34,0.00093107,1.076755,0.464298,0.699626,0.916000,21.95
35,0.00092706,1.114327,0.441996,0.706420,0.912400,22.55
36,0.00092294,1.078634,0.470375,0.706257,0.914600,23.19
37,0.00091872,1.069654,0.488226,0.698645,0.915200,23.83
38,0.00091440,1.066985,0.451055,0.700957,0.918000,24.48
39,0.00090998,1.047407,0.508391,0.722097,0.918000,25.10
40,0.00090546,1.062074,0.432447,0.705959,0.921000,25.75
41,0.00090084,1.062671,0.518407,0.699188,0.920200,26.41
42,0.00089613,1.060513,0.465634,0.705381,0.920200,27.04
43,0.00089131,1.007081,0.457866,0.695621,0.922800,27.68
44,0.00088640,1.019426,0.494680,0.688498,0.923200,28.33
45,0.00088140,1.066776,0.469173,0.677802,0.928400,28.96
46,0.00087630,1.015054,0.452123,0.674042,0.931200,29.63
47,0.00087112,1.061598,0.484442,0.679665,0.929000,30.28
48,0.00086584,1.045909,0.473513,0.672162,0.927800,30.94
49,0.00086047,1.022797,0.497062,0.673600,0.933000,31.55
50,0.00085502,1.009608,0.495816,0.670309,0.930200,32.09
51,0.00084948,1.057183,0.458934,0.657849,0.935000,32.75
52,0.00084385,1.016450,0.514022,0.665667,0.934600,33.40
53,0.00083814,1.032300,0.492343,0.665957,0.931000,34.06
54,0.00083235,0.993354,0.506277,0.671077,0.933800,34.70
55,0.00082648,0.980587,0.523326,0.670917,0.935200,35.36
56,0.00082052,1.015657,0.502315,0.677867,0.934200,36.02
57,0.00081450,1.005043,0.458578,0.665439,0.934200,36.66
58,0.00080839,1.037073,0.496639,0.688545,0.936000,37.31
59,0.00080221,1.017100,0.529202,0.649321,0.939000,37.98
60,0.00079595,0.996666,0.520210,0.681398,0.937200,38.58
61,0.00078963,0.985813,0.496083,0.671555,0.942600,39.22
62,0.00078323,1.011905,0.478610,0.676821,0.934600,39.87
63,0.00077677,0.987766,0.486957,0.666946,0.935200,40.53
64,0.00077023,1.010010,0.487602,0.666265,0.938400,41.16
65,0.00076364,0.958328,0.510817,0.645667,0.943800,41.82
66,0.00075698,0.936653,0.557114,0.657518,0.942800,42.44
67,0.00075025,1.005784,0.502359,0.644955,0.943400,43.09
68,0.00074347,0.973663,0.475450,0.647690,0.942000,43.73
69,0.00073663,0.985948,0.461895,0.654666,0.940600,44.36
70,0.00072973,0.968361,0.503895,0.642272,0.946600,45.03
71,0.00072277,0.978538,0.470931,0.638726,0.942800,45.65
72,0.00071576,0.984672,0.511797,0.676658,0.941400,46.30
73,0.00070870,0.935723,0.488248,0.641033,0.945200,46.95
74,0.00070159,1.002219,0.474025,0.638066,0.946000,47.61
75,0.00069443,0.969246,0.496461,0.645647,0.947200,48.27
76,0.00068722,0.978221,0.488426,0.647196,0.947000,48.93
77,0.00067997,0.943738,0.502204,0.654917,0.946000,49.59
78,0.00067268,0.930271,0.513911,0.628881,0.947000,50.22
79,0.00066534,0.956746,0.501002,0.642259,0.944800,50.86
80,0.00065796,0.970568,0.511040,0.642351,0.949200,51.48
81,0.00065055,0.956166,0.473024,0.625290,0.951600,52.12
82,0.00064310,0.945366,0.524573,0.664378,0.945800,52.74
83,0.00063562,0.971718,0.506299,0.638642,0.945600,53.39
84,0.00062810,0.961621,0.508725,0.642591,0.946600,54.03
85,0.00062056,0.957897,0.507011,0.619379,0.951600,54.69
86,0.00061298,0.954253,0.479078,0.647534,0.947000,55.29
87,0.00060538,0.939025,0.524083,0.634362,0.946400,55.95
88,0.00059775,0.950931,0.519631,0.637713,0.947000,56.57
89,0.00059010,0.937056,0.538729,0.633057,0.945800,57.20
90,0.00058244,0.942402,0.531205,0.635816,0.948600,57.86
91,0.00057475,0.937298,0.557358,0.632093,0.948200,58.51
92,0.00056704,0.948807,0.505542,0.628876,0.950200,59.18
93,0.00055932,0.958978,0.477230,0.646808,0.947600,59.82
94,0.00055158,0.932906,0.528624,0.645602,0.952200,60.47
95,0.00054384,0.955513,0.499132,0.633855,0.951000,61.10
96,0.00053608,0.941853,0.495170,0.624170,0.951400,61.76
97,0.00052832,0.941384,0.525485,0.641585,0.949000,62.40
98,0.00052055,0.954040,0.486067,0.645862,0.949400,63.05
99,0.00051278,0.957530,0.510038,0.640454,0.948800,63.70
100,0.00050500,0.928611,0.555021,0.621907,0.952000,64.36
101,0.00049722,0.884312,0.472267,0.629937,0.953600,65.01
102,0.00048945,0.958206,0.509215,0.637389,0.950000,65.65
103,0.00048168,0.920207,0.498575,0.641800,0.952400,66.30
104,0.00047392,0.960081,0.534589,0.631671,0.953600,66.95
105,0.00046616,0.938776,0.486757,0.626401,0.953000,67.60
106,0.00045842,0.935308,0.535546,0.626254,0.953600,68.24
107,0.00045068,0.940638,0.552885,0.636505,0.951800,68.90
108,0.00044296,0.945487,0.531317,0.633768,0.952000,69.55
109,0.00043525,0.942549,0.503984,0.640400,0.951000,70.21
110,0.00042756,0.954949,0.507812,0.628096,0.954200,70.86
111,0.00041990,0.905389,0.536592,0.622784,0.954400,71.49
112,0.00041225,0.902447,0.530315,0.616373,0.953600,72.13
113,0.00040462,0.892945,0.521034,0.615503,0.955600,72.78
114,0.00039702,0.903767,0.533899,0.622583,0.954400,73.42
115,0.00038944,0.917455,0.492098,0.619877,0.955800,74.07
116,0.00038190,0.880486,0.535969,0.613653,0.952800,74.71
117,0.00037438,0.882718,0.487313,0.614412,0.958000,75.33
118,0.00036690,0.911153,0.506433,0.664874,0.953800,75.97
119,0.00035945,0.907495,0.487914,0.611965,0.957000,76.60
120,0.00035204,0.898051,0.557626,0.609843,0.955000,77.22
121,0.00034466,0.903271,0.517606,0.627652,0.955400,77.88
122,0.00033732,0.908105,0.483596,0.627731,0.955600,78.52
123,0.00033003,0.907482,0.510417,0.614403,0.956000,79.17
124,0.00032278,0.885596,0.498397,0.626012,0.955600,79.81
125,0.00031557,0.891421,0.510572,0.626673,0.956800,80.42
126,0.00030841,0.935317,0.466725,0.613370,0.957600,81.07
127,0.00030130,0.883744,0.487936,0.624673,0.956600,81.70
128,0.00029424,0.861480,0.497796,0.618051,0.957200,82.34
129,0.00028723,0.865873,0.505943,0.624233,0.958800,82.97
130,0.00028027,0.847500,0.510127,0.628348,0.956800,83.62
131,0.00027337,0.898855,0.568309,0.612771,0.958600,84.27
132,0.00026653,0.919291,0.524862,0.627081,0.956600,84.91
133,0.00025975,0.904307,0.527978,0.614018,0.956200,85.56
134,0.00025302,0.875681,0.506855,0.628099,0.956600,86.21
135,0.00024636,0.890442,0.504073,0.605530,0.958000,86.85
136,0.00023977,0.920498,0.537816,0.610787,0.958800,87.50
137,0.00023323,0.869860,0.528290,0.614738,0.960200,88.15
138,0.00022677,0.895369,0.510172,0.619322,0.958600,88.80
139,0.00022037,0.909032,0.540843,0.637669,0.959400,89.46
140,0.00021405,0.927161,0.510350,0.627293,0.959600,90.09
141,0.00020779,0.894218,0.539597,0.608347,0.960800,90.73
142,0.00020161,0.889578,0.515135,0.610311,0.960400,91.37
143,0.00019550,0.892809,0.513511,0.599696,0.959800,92.01
144,0.00018948,0.902963,0.548722,0.607597,0.958000,92.66
145,0.00018352,0.878840,0.491520,0.614811,0.957600,93.29
146,0.00017765,0.861317,0.528156,0.603969,0.957600,93.93
147,0.00017186,0.917617,0.510439,0.655817,0.957600,94.58
148,0.00016615,0.862931,0.573228,0.603718,0.957600,95.23
149,0.00016052,0.877462,0.503494,0.610494,0.959000,95.88
150,0.00015498,0.907867,0.535323,0.620681,0.959600,96.52
151,0.00014953,0.885002,0.542112,0.614349,0.957400,97.17
152,0.00014416,0.852432,0.502916,0.613814,0.960000,97.82
153,0.00013888,0.888498,0.527756,0.629208,0.960000,98.45
154,0.00013370,0.864870,0.526732,0.610335,0.959800,99.11
155,0.00012860,0.865598,0.516894,0.610898,0.959400,99.74
156,0.00012360,0.854808,0.519542,0.609716,0.959800,100.36
157,0.00011869,0.866742,0.546764,0.609941,0.959000,101.00
158,0.00011387,0.852402,0.528134,0.607335,0.961200,101.64
159,0.00010916,0.903285,0.513822,0.622710,0.959400,102.30
160,0.00010454,0.889239,0.518875,0.661905,0.958200,102.92
161,0.00010002,0.886727,0.551638,0.626997,0.959000,103.54
162,0.00009560,0.889435,0.543870,0.617735,0.960400,104.18
163,0.00009128,0.854386,0.529536,0.596280,0.960400,104.82
164,0.00008706,0.893136,0.529225,0.616877,0.959400,105.45
165,0.00008294,0.861938,0.514490,0.599694,0.960600,106.09
166,0.00007893,0.864725,0.511463,0.604217,0.960200,106.72
167,0.00007503,0.868434,0.516960,0.617411,0.959600,107.39
