epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
1,0.09999383,2.164197,0.143541,1.973521,0.234400,0.72
2,0.09997533,2.043746,0.184540,1.793773,0.391200,1.35
3,0.09994450,1.934464,0.226407,1.582449,0.477000,1.99
4,0.09990135,1.788368,0.290131,1.459007,0.560200,2.63
5,0.09984588,1.704262,0.319400,1.299125,0.640200,3.27
6,0.09977812,1.616347,0.350093,1.200577,0.694200,3.91
7,0.09969808,1.564677,0.346109,1.158245,0.712400,4.56
8,0.09960577,1.488859,0.364873,1.179657,0.706000,5.19
9,0.09950123,1.446768,0.366186,1.036027,0.773000,5.83
10,0.09938448,1.412584,0.404002,1.122643,0.742400,6.48
11,0.09925554,1.395095,0.394008,1.002009,0.796400,7.12
12,0.09911445,1.379713,0.406495,0.979878,0.797000,7.75
13,0.09896124,1.373164,0.393652,0.975529,0.794800,8.38
14,0.09879596,1.380936,0.426482,0.973976,0.798800,9.02
15,0.09861863,1.354837,0.426616,0.961907,0.811600,9.67
16,0.09842932,1.315811,0.400730,0.939268,0.822800,10.29
17,0.09822805,1.303545,0.420117,1.003563,0.791000,10.92
18,0.09801488,1.315419,0.411792,0.955516,0.807000,11.57
19,0.09778987,1.302630,0.416422,0.922763,0.826800,12.20
20,0.09755307,1.313776,0.420784,0.917521,0.828000,12.84
21,0.09730454,1.295928,0.411659,1.011270,0.780800,13.48
22,0.09704433,1.288657,0.443332,0.946173,0.812800,14.12
23,0.09677252,1.293253,0.410078,0.931288,0.816000,14.75
24,0.09648918,1.316828,0.399795,0.866671,0.845600,15.38
25,0.09619436,1.293350,0.400263,0.912313,0.826200,15.99
26,0.09588814,1.287320,0.395232,0.933597,0.813800,16.62
27,0.09557061,1.289000,0.454238,0.912814,0.822600,17.24
28,0.09524183,1.263748,0.441952,0.861227,0.845400,17.87
29,0.09490189,1.272682,0.458756,0.910705,0.832400,18.50
30,0.09455087,1.253934,0.452880,0.908265,0.829400,19.13
31,0.09418886,1.284945,0.446336,0.939848,0.812000,19.76
32,0.09381595,1.238399,0.415954,0.870247,0.842000,20.40
33,0.09343223,1.258213,0.439748,0.911596,0.829600,21.02
34,0.09303780,1.243744,0.425169,0.862898,0.843400,21.65
35,0.09263275,1.277966,0.405070,0.886829,0.839000,22.28
36,0.09221717,1.259345,0.429398,0.863785,0.844000,22.92
37,0.09179119,1.248718,0.442063,0.902961,0.829400,23.55
38,0.09135489,1.247430,0.407474,0.867187,0.845400,24.18
39,0.09090840,1.224379,0.459179,0.906272,0.837000,24.78
40,0.09045180,1.242616,0.394453,0.861320,0.853200,25.42
41,0.08998523,1.241718,0.467771,0.899650,0.834200,26.06
42,0.08950880,1.243002,0.422520,0.898389,0.848000,26.69
43,0.08902262,1.203879,0.413795,0.861403,0.845600,27.31
44,0.08852681,1.209343,0.444623,0.918816,0.820400,27.94
45,0.08802150,1.250324,0.425481,0.861876,0.850600,28.56
46,0.08750680,1.211088,0.409767,0.887724,0.840200,29.17
47,0.08698286,1.254757,0.435296,0.841752,0.862200,29.81
48,0.08644979,1.237747,0.424791,0.846627,0.858000,30.44
49,0.08590772,1.223427,0.446960,0.879704,0.843000,31.07
50,0.08535680,1.204172,0.447427,0.844999,0.859200,31.69
51,0.08479716,1.248868,0.415042,0.845242,0.860000,32.33
52,0.08422893,1.214723,0.462896,0.839131,0.857600,32.95
53,0.08365226,1.230815,0.441729,0.864716,0.849400,33.55
54,0.08306729,1.197859,0.454639,0.824336,0.870400,34.20
55,0.08247416,1.185809,0.466324,0.827202,0.866000,34.83
56,0.08187301,1.213795,0.449920,0.867264,0.849200,35.46
57,0.08126401,1.213495,0.411481,0.879401,0.838200,36.09
58,0.08064729,1.238044,0.442085,0.844920,0.873400,36.72
59,0.08002301,1.217713,0.473068,0.888238,0.842800,37.35
60,0.07939132,1.202539,0.463764,0.876947,0.852400,37.98
61,0.07875239,1.197598,0.444289,0.924915,0.826400,38.62
62,0.07810636,1.213878,0.429999,0.804488,0.883800,39.25
63,0.07745340,1.195116,0.438524,0.855505,0.855200,39.87
64,0.07679366,1.216573,0.437099,0.846223,0.855200,40.50
65,0.07612732,1.168759,0.457109,0.898659,0.835200,41.14
66,0.07545453,1.155552,0.497173,0.860812,0.851200,41.78
67,0.07477546,1.210335,0.450788,0.784123,0.890200,42.40
68,0.07409027,1.180898,0.427061,0.845344,0.855200,43.03
69,0.07339915,1.195665,0.413395,0.787884,0.882200,43.66
70,0.07270226,1.179332,0.449541,0.798776,0.878800,44.29
71,0.07199976,1.189860,0.422520,0.811397,0.867800,44.92
72,0.07129184,1.196995,0.459313,0.895017,0.849200,45.54
73,0.07057866,1.152466,0.437033,0.797369,0.878400,46.18
74,0.06986041,1.205623,0.427150,0.839671,0.866000,46.82
75,0.06913726,1.184706,0.444533,0.807360,0.876600,47.46
76,0.06840939,1.188418,0.438524,0.835570,0.873800,48.08
77,0.06767697,1.161727,0.448495,0.814754,0.870800,48.69
78,0.06694020,1.144180,0.461004,0.810969,0.869800,49.30
79,0.06619925,1.167621,0.448607,0.801753,0.877600,49.93
80,0.06545430,1.183541,0.456597,0.809381,0.877200,50.54
81,0.06470555,1.169317,0.424212,0.786229,0.881800,51.13
82,0.06395316,1.153701,0.469640,0.822676,0.875400,51.74
83,0.06319733,1.182842,0.455195,0.803340,0.878600,52.35
84,0.06243825,1.175255,0.453971,0.805051,0.881600,52.99
85,0.06167610,1.167263,0.454817,0.864450,0.845200,53.61
86,0.06091107,1.164514,0.432893,0.790516,0.886400,54.24
87,0.06014335,1.148917,0.469974,0.822640,0.868200,54.87
88,0.05937313,1.159388,0.466947,0.819774,0.883000,55.50
89,0.05860060,1.152689,0.481882,0.775051,0.892200,56.13
90,0.05782594,1.153695,0.475027,0.812659,0.870400,56.77
91,0.05704936,1.147386,0.498175,0.748178,0.901800,57.41
92,0.05627104,1.154494,0.456352,0.794144,0.884200,58.03
93,0.05549117,1.164883,0.431134,0.814967,0.896200,58.65
94,0.05470995,1.142366,0.476384,0.803474,0.885800,59.30
95,0.05392756,1.159753,0.453080,0.807824,0.879400,59.89
96,0.05314421,1.146875,0.446804,0.793195,0.886400,60.51
97,0.05236009,1.145872,0.471733,0.760944,0.892600,61.13
98,0.05157538,1.158604,0.437455,0.797916,0.899000,61.78
99,0.05079029,1.162357,0.459558,0.796794,0.887600,62.40
100,0.05000500,1.132149,0.500467,0.740943,0.899000,63.04
101,0.04921971,1.095988,0.425815,0.806330,0.886600,63.68
102,0.04843462,1.158719,0.460337,0.754920,0.899800,64.32
103,0.04764991,1.122697,0.450677,0.832186,0.881200,64.95
104,0.04686579,1.154544,0.482528,0.792370,0.888000,65.59
105,0.04608244,1.135097,0.442285,0.772316,0.893600,66.22
106,0.04530005,1.135748,0.481838,0.762299,0.896400,66.83
107,0.04451883,1.142328,0.499777,0.763072,0.906600,67.46
108,0.04373896,1.140898,0.479144,0.811398,0.893600,68.10
109,0.04296064,1.133626,0.458289,0.797384,0.897200,68.73
110,0.04218406,1.144277,0.462006,0.727441,0.917200,69.36
111,0.04140940,1.101332,0.486178,0.743677,0.910000,69.99
112,0.04063687,1.098137,0.478321,0.780900,0.886600,70.62
113,0.03986665,1.086470,0.473624,0.732837,0.914800,71.25
114,0.03909893,1.091571,0.485889,0.744749,0.913400,71.88
