epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
1,0.09999383,2.096284,0.167691,1.821266,0.365800,0.71
2,0.09997533,1.874512,0.244636,1.517477,0.534400,1.35
3,0.09994450,1.698279,0.302172,1.300336,0.635800,1.98
4,0.09990135,1.570656,0.358730,1.221440,0.675800,2.58
5,0.09984588,1.516852,0.375000,1.113686,0.726800,3.18
6,0.09977812,1.451333,0.397102,1.060362,0.750000,3.82
7,0.09969808,1.427553,0.380743,1.022753,0.772200,4.44
8,0.09960577,1.376557,0.393741,1.006610,0.789600,5.07
9,0.09950123,1.353414,0.388911,0.989155,0.789600,5.69
10,0.09938448,1.335662,0.423010,1.069573,0.757400,6.32
11,0.09925554,1.328039,0.409923,1.017284,0.778200,6.95
12,0.09911445,1.314974,0.418269,1.036920,0.770000,7.59
13,0.09896124,1.318845,0.403957,0.990112,0.799600,8.23
14,0.09879596,1.331305,0.436387,0.925846,0.831600,8.84
15,0.09861863,1.310417,0.435430,0.942251,0.834400,9.47
16,0.09842932,1.279565,0.409544,0.899267,0.844800,10.11
17,0.09822805,1.265929,0.427017,0.951793,0.831400,10.74
18,0.09801488,1.281573,0.418447,0.914827,0.825400,11.35
19,0.09778987,1.267178,0.424791,0.879847,0.841600,11.97
20,0.09755307,1.283356,0.427350,0.848015,0.855000,12.61
21,0.09730454,1.266624,0.417090,0.881433,0.838600,13.25
22,0.09704433,1.260873,0.448495,0.892962,0.842000,13.86
23,0.09677252,1.268297,0.415353,0.865782,0.857600,14.50
24,0.09648918,1.287758,0.406161,0.865356,0.845000,15.12
25,0.09619436,1.267239,0.406272,0.861946,0.850000,15.73
26,0.09588814,1.264483,0.400085,0.878012,0.840800,16.37
27,0.09557061,1.261713,0.461583,0.865577,0.848400,17.01
28,0.09524183,1.243024,0.446782,0.863502,0.859400,17.63
29,0.09490189,1.246726,0.467481,0.926124,0.825400,18.27
30,0.09455087,1.234362,0.458267,0.884267,0.837000,18.91
31,0.09418886,1.262165,0.450543,0.930813,0.815200,19.53
32,0.09381595,1.218403,0.423478,0.870162,0.840400,20.15
33,0.09343223,1.235181,0.443799,0.882427,0.845800,20.77
34,0.09303780,1.224814,0.429153,0.839672,0.855400,21.41
35,0.09263275,1.261231,0.404692,0.865713,0.851800,22.05
36,0.09221717,1.234161,0.432247,0.900563,0.829800,22.66
37,0.09179119,1.225691,0.446002,0.921142,0.819800,23.30
38,0.09135489,1.231280,0.413484,0.865772,0.853000,23.93
39,0.09090840,1.210303,0.461071,0.937697,0.824800,24.56
40,0.09045180,1.229980,0.397236,0.825648,0.880000,25.18
41,0.08998523,1.223639,0.473847,0.836874,0.863600,25.81
42,0.08950880,1.227134,0.424590,0.855689,0.864400,26.44
43,0.08902262,1.185264,0.415465,0.842295,0.861800,27.07
44,0.08852681,1.189534,0.451545,0.813735,0.868400,27.70
45,0.08802150,1.237255,0.426393,0.823567,0.861400,28.33
46,0.08750680,1.195948,0.412994,0.841889,0.855000,28.95
47,0.08698286,1.238561,0.438034,0.851945,0.859200,29.58
48,0.08644979,1.221268,0.428664,0.833480,0.864400,30.22
49,0.08590772,1.206471,0.450654,0.847111,0.856400,30.84
50,0.08535680,1.193746,0.448696,0.837479,0.862000,31.43
