epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
1,0.09999383,2.183203,0.137821,1.892171,0.309400,0.70
2,0.09997533,2.060078,0.179643,1.820406,0.329800,1.32
3,0.09994450,1.943433,0.218616,1.723999,0.417600,1.95
4,0.09990135,1.813787,0.279247,1.477291,0.545400,2.57
5,0.09984588,1.726603,0.310252,1.303887,0.641400,3.18
6,0.09977812,1.624864,0.347044,1.301278,0.643000,3.81
7,0.09969808,1.576786,0.344084,1.172037,0.709000,4.41
8,0.09960577,1.498730,0.362179,1.153076,0.722400,5.03
9,0.09950123,1.462667,0.362291,1.130999,0.721000,5.64
10,0.09938448,1.430614,0.396924,1.077318,0.753200,6.27
11,0.09925554,1.412610,0.388132,1.027772,0.773800,6.88
12,0.09911445,1.396543,0.399907,0.993311,0.793400,7.49
13,0.09896124,1.396906,0.386886,1.053371,0.763600,8.10
14,0.09879596,1.393792,0.418269,0.980275,0.800600,8.72
15,0.09861863,1.377888,0.421140,0.988971,0.791200,9.34
16,0.09842932,1.340066,0.392606,1.010652,0.788000,9.96
17,0.09822805,1.331667,0.415910,0.981781,0.800400,10.57
18,0.09801488,1.339781,0.402266,0.974086,0.794200,11.17
19,0.09778987,1.324706,0.409144,0.980967,0.793200,11.78
20,0.09755307,1.336570,0.414752,0.936430,0.812600,12.40
21,0.09730454,1.315710,0.403423,0.955578,0.811600,13.03
22,0.09704433,1.315358,0.438390,0.898042,0.831400,13.72
23,0.09677252,1.321094,0.401643,0.912160,0.831000,14.44
24,0.09648918,1.335047,0.395344,0.940101,0.815600,15.15
25,0.09619436,1.314422,0.393051,0.984188,0.799000,15.87
26,0.09588814,1.310170,0.394253,0.891625,0.834800,16.57
27,0.09557061,1.310784,0.450677,0.977126,0.793400,17.28
28,0.09524183,1.288630,0.437901,0.944017,0.814600,17.97
29,0.09490189,1.292796,0.452591,1.021738,0.777000,18.64
30,0.09455087,1.278367,0.448740,0.936474,0.819400,19.34
31,0.09418886,1.309731,0.438769,0.883322,0.848000,20.03
32,0.09381595,1.263481,0.413395,0.944808,0.810200,20.72
33,0.09343223,1.278898,0.434339,0.936299,0.820800,21.38
34,0.09303780,1.268247,0.416266,0.933611,0.815400,22.05
35,0.09263275,1.298416,0.401309,0.898872,0.840600,22.73
36,0.09221717,1.276650,0.420762,0.953210,0.795800,23.39
37,0.09179119,1.266646,0.435853,1.008010,0.786000,24.04
38,0.09135489,1.270324,0.405093,0.873517,0.841200,24.70
39,0.09090840,1.253504,0.451389,0.895452,0.836800,25.34
40,0.09045180,1.263456,0.393385,0.868533,0.864800,25.99
41,0.08998523,1.268734,0.463876,0.873844,0.845600,26.65
42,0.08950880,1.270946,0.415131,0.932165,0.825400,27.31
43,0.08902262,1.221276,0.412304,0.875465,0.848200,27.95
44,0.08852681,1.241114,0.439281,0.875642,0.840800,28.61
45,0.08802150,1.274406,0.418714,0.893336,0.833000,29.26
46,0.08750680,1.234765,0.402199,0.896908,0.838600,29.91
47,0.08698286,1.272957,0.432381,0.864164,0.850000,30.56
48,0.08644979,1.264167,0.419338,0.935863,0.817000,31.21
49,0.08590772,1.244354,0.440238,0.878423,0.851400,31.85
50,0.08535680,1.237393,0.437656,0.841304,0.860000,32.48
51,0.08479716,1.273485,0.405827,0.845677,0.851000,33.13
52,0.08422893,1.245739,0.452947,0.863792,0.850400,33.76
53,0.08365226,1.244397,0.438947,0.923882,0.816000,34.41
54,0.08306729,1.219391,0.447071,0.882025,0.842200,35.04
55,0.08247416,1.209734,0.464810,0.879991,0.842600,35.67
56,0.08187301,1.243321,0.444645,0.870730,0.847400,36.29
57,0.08126401,1.233502,0.405938,0.860656,0.852200,36.91
58,0.08064729,1.257696,0.440260,0.916318,0.825800,37.54
59,0.08002301,1.240873,0.466702,0.839950,0.862200,38.17
60,0.07939132,1.233701,0.454594,0.848202,0.863800,38.76
61,0.07875239,1.224876,0.436320,0.851237,0.859400,39.36
62,0.07810636,1.236677,0.425570,0.857510,0.864800,39.98
63,0.07745340,1.219153,0.430444,0.860702,0.848600,40.59
64,0.07679366,1.238294,0.429977,0.847973,0.864600,41.20
65,0.07612732,1.194568,0.451945,0.819557,0.867000,41.79
66,0.07545453,1.181185,0.486779,0.876574,0.841400,42.40
67,0.07477546,1.234267,0.443131,0.806692,0.877800,43.01
68,0.07409027,1.210946,0.418314,0.778317,0.882400,43.61
69,0.07339915,1.222297,0.408454,0.852895,0.861200,44.15
70,0.07270226,1.209450,0.444266,0.876079,0.845000,44.69
71,0.07199976,1.210933,0.418358,0.825210,0.861800,45.22
72,0.07129184,1.221069,0.450387,0.830750,0.867600,45.78
73,0.07057866,1.178012,0.431691,0.837293,0.856200,46.38
74,0.06986041,1.234175,0.419716,0.815804,0.870400,46.94
75,0.06913726,1.200105,0.438257,0.877158,0.842800,47.49
76,0.06840939,1.217920,0.428308,0.795719,0.879400,48.04
77,0.06767697,1.180574,0.445134,0.812845,0.876000,48.59
78,0.06694020,1.167503,0.450432,0.803494,0.872600,49.13
79,0.06619925,1.196352,0.440572,0.794178,0.879600,49.71
80,0.06545430,1.205553,0.454906,0.853512,0.859200,50.26
81,0.06470555,1.193676,0.418892,0.781561,0.880600,50.80
82,0.06395316,1.182010,0.463475,0.833061,0.876200,51.34
83,0.06319733,1.203448,0.453548,0.804465,0.878600,51.92
84,0.06243825,1.193795,0.448607,0.810970,0.874800,52.45
85,0.06167610,1.195137,0.449341,0.792473,0.878000,53.04
86,0.06091107,1.189600,0.422943,0.792840,0.883400,53.60
87,0.06014335,1.175519,0.463297,0.808710,0.870200,54.12
88,0.05937313,1.181794,0.458979,0.812983,0.878000,54.65
89,0.05860060,1.169852,0.480458,0.852693,0.854800,55.20
90,0.05782594,1.173085,0.469729,0.781769,0.888000,55.72
91,0.05704936,1.168831,0.490763,0.792377,0.883600,56.25
92,0.05627104,1.180174,0.446292,0.774071,0.886200,56.83
93,0.05549117,1.186793,0.424368,0.860983,0.863600,57.36
94,0.05470995,1.167989,0.467793,0.797137,0.890200,57.92
95,0.05392756,1.185065,0.446314,0.808811,0.873400,58.45
96,0.05314421,1.172274,0.444845,0.768485,0.893800,58.99
97,0.05236009,1.167643,0.464677,0.795576,0.889000,59.52
98,0.05157538,1.182549,0.432603,0.827156,0.876600,60.10
99,0.05079029,1.187082,0.450098,0.791490,0.887800,60.65
100,0.05000500,1.158528,0.493790,0.780504,0.879800,61.18
101,0.04921971,1.117638,0.422120,0.792994,0.895600,61.71
102,0.04843462,1.182925,0.450632,0.806614,0.889000,62.24
103,0.04764991,1.146286,0.444066,0.783835,0.897200,62.77
104,0.04686579,1.181849,0.472623,0.770091,0.897600,63.34
105,0.04608244,1.161356,0.433805,0.768211,0.891200,63.92
106,0.04530005,1.154756,0.476273,0.763763,0.892600,64.44
107,0.04451883,1.163847,0.491141,0.796948,0.893600,64.97
108,0.04373896,1.165953,0.472934,0.771050,0.897200,65.50
109,0.04296064,1.161809,0.452769,0.791722,0.885600,66.02
110,0.04218406,1.172070,0.453971,0.769997,0.892600,66.56
111,0.04140940,1.126103,0.479189,0.755872,0.903000,67.14
112,0.04063687,1.128199,0.477186,0.743958,0.902600,67.68
113,0.03986665,1.116764,0.467125,0.744257,0.900400,68.20
114,0.03909893,1.121992,0.477252,0.751290,0.905400,68.74
115,0.03833390,1.135852,0.439392,0.774902,0.892000,69.27
116,0.03757175,1.103261,0.481548,0.731602,0.906200,69.84
117,0.03681267,1.093864,0.437099,0.757900,0.895200,70.43
118,0.03605684,1.127194,0.451100,0.834796,0.875400,70.97
119,0.03530445,1.112616,0.439392,0.720250,0.909400,71.50
120,0.03455570,1.106915,0.503294,0.718160,0.904600,72.04
121,0.03381075,1.103388,0.467548,0.755742,0.906600,72.60
122,0.03306980,1.111618,0.436231,0.766618,0.898600,73.14
123,0.03233303,1.105149,0.461961,0.763688,0.897600,73.66
124,0.03160061,1.087137,0.449875,0.748370,0.909200,74.24
125,0.03087274,1.096199,0.461850,0.774098,0.899000,74.76
126,0.03014959,1.135341,0.421586,0.731087,0.913400,75.28
127,0.02943134,1.084360,0.441529,0.740004,0.912400,75.79
128,0.02871816,1.060179,0.446692,0.733333,0.909400,76.33
129,0.02801024,1.066822,0.457421,0.734886,0.916000,76.85
130,0.02730774,1.047308,0.462963,0.733052,0.912800,77.44
131,0.02661085,1.090846,0.514200,0.735130,0.907400,77.96
132,0.02591973,1.107308,0.476763,0.752977,0.905400,78.47
133,0.02523454,1.087798,0.485354,0.708616,0.916600,78.99
134,0.02455547,1.060273,0.464187,0.718620,0.923800,79.50
135,0.02388268,1.075700,0.463475,0.704047,0.916600,80.01
136,0.02321634,1.100417,0.490741,0.700685,0.927200,80.56
137,0.02255660,1.053313,0.484420,0.708599,0.924000,81.12
138,0.02190364,1.071593,0.468015,0.714346,0.918200,81.64
139,0.02125761,1.084461,0.498620,0.738023,0.923800,82.15
140,0.02061868,1.102988,0.469618,0.726046,0.921200,82.66
141,0.01998699,1.060375,0.500735,0.680166,0.929000,83.17
142,0.01936271,1.056202,0.474092,0.704419,0.916800,83.68
143,0.01874599,1.057115,0.477074,0.682920,0.924400,84.26
144,0.01813699,1.063392,0.507123,0.681589,0.932400,84.76
145,0.01753584,1.041806,0.456731,0.696318,0.934000,85.27
146,0.01694271,1.023580,0.491052,0.692552,0.922800,85.78
147,0.01635774,1.072806,0.474671,0.741135,0.928000,86.27
148,0.01578107,1.015904,0.533031,0.674647,0.928200,86.77
149,0.01521284,1.031638,0.467748,0.681275,0.931200,87.24
150,0.01465320,1.062512,0.500000,0.690676,0.930400,87.81
151,0.01410228,1.032521,0.507590,0.672263,0.934600,88.33
152,0.01356021,1.000773,0.467281,0.691889,0.936200,88.86
153,0.01302714,1.029722,0.493612,0.704422,0.937600,89.40
154,0.01250320,1.006553,0.493256,0.697991,0.925800,89.94
155,0.01198850,1.003425,0.483997,0.683050,0.936200,90.46
156,0.01148319,0.990448,0.489583,0.685957,0.931800,91.04
157,0.01098738,1.000148,0.514200,0.676233,0.939200,91.58
158,0.01050120,0.978320,0.500089,0.675949,0.939600,92.12
159,0.01002477,1.031451,0.483173,0.684182,0.944400,92.66
160,0.00955820,1.015779,0.492766,0.725713,0.935600,93.19
161,0.00910160,1.007702,0.521590,0.698947,0.936800,93.72
162,0.00865511,1.005607,0.516404,0.676576,0.940400,94.30
163,0.00821881,0.967871,0.504585,0.633365,0.944200,94.91
164,0.00779283,1.005585,0.500111,0.682704,0.939800,95.45
165,0.00737725,0.976056,0.487135,0.655404,0.942200,96.03
166,0.00697220,0.968622,0.488938,0.647942,0.944800,96.59
167,0.00657777,0.972448,0.497351,0.666247,0.946200,97.13
168,0.00619405,0.964676,0.457643,0.678867,0.947000,97.68
169,0.00582114,0.994216,0.498776,0.649226,0.948200,98.30
170,0.00545913,0.991807,0.501425,0.671558,0.949600,98.84
171,0.00510811,0.960984,0.485621,0.639926,0.948000,99.40
172,0.00476817,0.963182,0.523126,0.650236,0.949600,99.97
173,0.00443939,0.934283,0.515536,0.636233,0.951200,100.53
174,0.00412186,0.953198,0.524573,0.655515,0.952800,101.09
175,0.00381564,0.940028,0.525530,0.641973,0.950800,101.71
176,0.00352082,0.940796,0.486645,0.658432,0.950200,102.29
177,0.00323748,0.951039,0.492232,0.648601,0.954200,102.88
178,0.00296567,0.944324,0.534655,0.642955,0.955800,103.46
179,0.00270546,0.968951,0.520633,0.613680,0.955000,104.05
180,0.00245693,0.935513,0.522213,0.627510,0.955600,104.65
181,0.00222013,0.946518,0.503851,0.652733,0.954600,105.29
182,0.00199512,0.919697,0.493456,0.639774,0.953200,105.87
183,0.00178195,0.943056,0.503472,0.629614,0.957000,106.43
184,0.00158068,0.938503,0.536169,0.662052,0.955600,107.00
185,0.00139137,0.955680,0.492009,0.644877,0.958800,107.56
186,0.00121404,0.911689,0.526776,0.646605,0.956400,108.13
187,0.00104876,0.923015,0.483997,0.640558,0.957600,108.72
188,0.00089555,0.927148,0.536303,0.656223,0.957000,109.32
189,0.00075446,0.936820,0.493901,0.660788,0.956400,109.90
190,0.00062552,0.921887,0.520900,0.627564,0.957600,110.47
191,0.00050877,0.947418,0.502359,0.622170,0.956400,111.03
192,0.00040423,0.928187,0.514401,0.636438,0.957800,111.60
193,0.00031192,0.936885,0.519342,0.646582,0.958200,112.17
194,0.00023188,0.935012,0.477787,0.643990,0.958200,112.78
195,0.00016412,0.894518,0.511151,0.600825,0.957600,113.33
196,0.00010865,0.932565,0.518118,0.603415,0.958000,113.88
197,0.00006550,0.913057,0.493901,0.625500,0.958400,114.45
198,0.00003467,0.928719,0.498041,0.607802,0.958200,115.01
199,0.00001617,0.919166,0.516916,0.638858,0.958800,115.57
200,0.00001000,0.939547,0.522569,0.621135,0.957600,116.16
